"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","gbifID","verbatimEventDate","institutionCode","datasetName","verbatimLocality","catalogNumber","recordedBy","rights","rightsHolder","identifier","taxonID","collectionCode","identificationID","occurrenceRemarks","eventTime","informationWithheld","infraspecificEpithet","locality","prov"
"433","Pipilo maculatus",891052061,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.952+0000","2014-05-29T20:16:48.790+0000","none","HUMAN_OBSERVATION",2491210,1,44,212,729,9608,2491204,2491210,"Pipilo maculatus Swainson, 1827","Animalia","Chordata","Passeriformes","Emberizidae","Pipilo","Pipilo maculatus","Pipilo","maculatus","SPECIES","2014-02-26T19:41:40.000+0000",-122.65195,38.45749,2014,2,26,"2014-02-26T18:11:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T02:16:46.000+0000","2014-06-05T19:25:59.384+0000","http://www.inaturalist.org/observations/544844","none","none","none","WGS84","Aves","US","United States","891052061","2014-02-26  1011","iNaturalist","iNaturalist research-grade observations","Spring Lake Park, Santa Rosa CA","544844","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","544844","9420","Observations","956319",NA,"18:11:00Z",NA,NA,NA,"gbif"
"434","Diplopoda",891052616,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:07.192+0000","2014-05-29T20:16:51.776+0000","none","HUMAN_OBSERVATION",361,1,54,361,NA,NA,NA,NA,"Diplopoda","Animalia","Arthropoda",NA,NA,NA,NA,"Diplopoda",NA,"CLASS","2014-02-27T23:00:11.000+0000",-122.81638,38.54713,2014,2,27,"2014-02-26T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-28T00:18:20.000+0000","2014-06-05T19:26:01.318+0000","http://www.inaturalist.org/observations/546113","none","none","none","WGS84","Diplopoda","US","United States","891052616","2014-02-27","iNaturalist","iNaturalist research-grade observations","Windsor, California","546113","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","546113","47735","Observations","959231","Found in a non-living state within a building.",NA,NA,NA,NA,"gbif"
"435","Pseudocyphellaria anthraspis",891046450,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.024+0000","2014-05-29T20:16:10.902+0000","none","HUMAN_OBSERVATION",2601435,5,95,180,1055,8375,2601421,2601435,"Pseudocyphellaria anthraspis (Ach.) H. Magn.","Fungi","Ascomycota","Peltigerales","Lobariaceae","Pseudocyphellaria","Pseudocyphellaria anthraspis","Pseudocyphellaria","anthraspis","SPECIES","2014-02-15T22:44:07.000+0000",-122.68818,38.56664,2014,2,15,"2014-02-15T17:22:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-04T15:14:25.000+0000","2014-06-05T19:25:36.733+0000","http://www.inaturalist.org/observations/531981","none","none","none","WGS84","Lecanoromycetes","US","United States","891046450","2014-02-15  0922","iNaturalist","iNaturalist research-grade observations","Pepperwood Preserve","531981","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","531981","55248","Observations","931255",NA,"17:22:00Z",NA,NA,NA,"gbif"
"436","Cardamine",891047044,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.303+0000","2014-05-29T20:16:15.285+0000","none","HUMAN_OBSERVATION",3045622,6,49,220,7225535,3112,3045622,NA,"Cardamine L.","Plantae","Magnoliophyta","Brassicales","Brassicaceae","Cardamine",NA,"Cardamine",NA,"GENUS","2014-02-17T02:13:20.000+0000",-122.79741,38.43058,2014,2,16,"2014-02-16T01:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-27T15:43:24.000+0000","2014-06-05T19:25:39.408+0000","http://www.inaturalist.org/observations/533549","none","none","none","WGS84","Magnoliopsida","US","United States","891047044","2014-02-16 5pm","iNaturalist","iNaturalist research-grade observations","piezzi road","533549","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","533549","49652","Observations","933789",NA,"01:00:00Z",NA,NA,NA,"gbif"
"437","Coccinella septempunctata",891047110,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.294+0000","2014-05-29T20:16:15.744+0000","none","HUMAN_OBSERVATION",4990191,1,54,216,1470,7782,1043502,4990191,"Coccinella septempunctata Linnaeus, 1758","Animalia","Arthropoda","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella","septempunctata","SPECIES","2014-02-17T02:06:01.000+0000",-122.81417,38.41963,2014,2,16,"2014-02-16T00:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-31T18:16:31.000+0000","2014-06-05T19:25:39.498+0000","http://www.inaturalist.org/observations/533546","none","none","none","WGS84","Insecta","US","United States","891047110","2014-02-16 4pm","iNaturalist","iNaturalist research-grade observations","5700 occidental road","533546","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","533546","51702","Observations","933780",NA,"00:00:00Z",NA,NA,NA,"gbif"
"438","Pteridium aquilinum",891047341,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.567+0000","2014-05-29T20:16:16.809+0000","none","HUMAN_OBSERVATION",5275012,6,59,7228684,392,6623,5275011,5275012,"Pteridium aquilinum (L.) Kuhn","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Pteridium","Pteridium aquilinum","Pteridium","aquilinum","SPECIES","2014-02-17T20:11:56.000+0000",-122.68538,38.45497,2014,2,17,"2014-02-17T18:30:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-19T02:31:49.000+0000","2014-06-05T19:25:40.495+0000","http://www.inaturalist.org/observations/534437","none","none","none","WGS84","Polypodiopsida","US","United States","891047341","2014-02-17    1030","iNaturalist","iNaturalist research-grade observations","Snake Mountain,  Santa Rosa","534437","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","534437","52681","Observations","935463",NA,"18:30:00Z",NA,NA,NA,"gbif"
"439","Pseudotsuga menziesii",891047370,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:04.761+0000","2014-05-29T20:16:16.818+0000","none","HUMAN_OBSERVATION",2685796,6,101,194,640,3925,2685775,2685796,"Pseudotsuga menziesii (Mirb.) Franco","Plantae","Pinophyta","Pinales","Pinaceae","Pseudotsuga","Pseudotsuga menziesii","Pseudotsuga","menziesii","SPECIES","2014-02-17T21:23:19.000+0000",-122.79741,38.43058,2014,2,17,"2014-02-16T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-23T05:05:04.000+0000","2014-06-05T19:25:40.519+0000","http://www.inaturalist.org/observations/534361","none","none","none","WGS84","Pinopsida","US","United States","891047370","2014-02-17","iNaturalist","iNaturalist research-grade observations","piezzi road","534361","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","534361","48256","Observations","935574",NA,NA,NA,NA,NA,"gbif"
"440","Eucalyptus globulus",891048195,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:05.046+0000","2014-05-29T20:16:22.195+0000","none","HUMAN_OBSERVATION",3176787,6,49,220,690,5014,3176176,3176787,"Eucalyptus globulus Labill.","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus globulus","Eucalyptus","globulus","SPECIES","2014-02-20T00:31:30.000+0000",-122.57517,38.41727,2014,2,18,"2014-02-17T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-27T18:31:13.000+0000","2014-06-05T19:25:43.578+0000","http://www.inaturalist.org/observations/536248","none","none","none","WGS84","Magnoliopsida","US","United States","891048195","2014-02-18","iNaturalist","iNaturalist research-grade observations","Annadel State Park","536248","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","536248","53398","Observations","940562","Two spindly eucalyptus trees were seen near the Lawndale trailhead. Eucalyptus, of course, are not native to California, but were brought to the state in the 1800s to be used as windbreaks for the farms. They are now widely naturalized.",NA,NA,NA,NA,"gbif"
"441","Salix",891052446,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:07.103+0000","2014-05-29T20:16:51.473+0000","none","HUMAN_OBSERVATION",3039576,6,49,220,1414,6664,3039576,NA,"Salix Linnaeus, 1753","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Salix",NA,"Salix",NA,"GENUS","2014-02-27T13:40:13.000+0000",-122.67834,38.45292,2014,2,26,"2014-02-25T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-28T02:37:32.000+0000","2014-06-05T19:26:00.446+0000","http://www.inaturalist.org/observations/545698","none","none","none","WGS84","Magnoliopsida","US","United States","891052446","2014-02-26","iNaturalist","iNaturalist research-grade observations","Flat Rocks, Brush Creek, Santa Rosa","545698","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","545698","53453","Observations","958331","Willow with emerging catkins seen on the upper bank of brush creek between the trail and the creekbed.",NA,NA,NA,NA,"gbif"
"442","Setophaga coronata",891052677,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:07.274+0000","2014-05-29T20:16:52.614+0000","none","HUMAN_OBSERVATION",7341805,1,44,212,729,5263,2489984,7341805,"Setophaga coronata","Animalia","Chordata","Passeriformes","Parulidae","Setophaga","Setophaga coronata","Setophaga","coronata","SPECIES","2014-02-28T13:40:08.000+0000",-122.58727,38.39837,2014,2,27,"2014-02-26T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T02:31:29.000+0000","2014-06-05T19:26:01.466+0000","http://www.inaturalist.org/observations/546279","none","none","none","WGS84","Aves","US","United States","891052677","2014-02-27","iNaturalist","iNaturalist research-grade observations","Annadel State Park","546279","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","546279","145245","Observations","960248","Seen perching on a mossy limb of a Quercus garryana tree.",NA,NA,NA,NA,"gbif"
"443","Coccinella septempunctata",899944430,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.488+0000","2014-05-29T21:32:13.072+0000","none","HUMAN_OBSERVATION",4990191,1,54,216,1470,7782,1043502,4990191,"Coccinella septempunctata Linnaeus, 1758","Animalia","Arthropoda","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata","Coccinella","septempunctata","SPECIES","2014-02-12T14:13:15.000+0000",-122.69029,38.56434,2014,2,5,"2014-02-04T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-31T18:16:40.000+0000","2014-06-05T20:09:54.753+0000","http://www.inaturalist.org/observations/528656","none","none","none","WGS84","Insecta","US","United States","899944430","2014-02-05","iNaturalist","iNaturalist research-grade observations","Pepperwood Preserve","528656","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","528656","51702","Observations","924749","Many--if not most-- of the Italian thistles we grubbed out on this day's work crew  hosted these attractive insects.  Aphids, if present, escaped my attention.  At 'Bald Hills': just outside preserve boundaries.",NA,NA,NA,NA,"gbif"
"444","Typha latifolia",891041435,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.443+0000","2014-05-29T20:15:36.535+0000","none","HUMAN_OBSERVATION",5289423,6,49,196,1369,4246,2702102,5289423,"Typha latifolia L.","Plantae","Magnoliophyta","Poales","Typhaceae","Typha","Typha latifolia","Typha","latifolia","SPECIES","2014-02-03T21:49:00.000+0000",-122.65102,38.45012,2014,2,3,"2014-02-02T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-10T16:23:57.000+0000","2014-06-05T19:25:16.638+0000","http://www.inaturalist.org/observations/519677","none","none","none","WGS84","Liliopsida","US","United States","891041435","2014-02-03","iNaturalist","iNaturalist research-grade observations","Spring Lake, California","519677","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","519677","48685","Observations","906034","A stand of this plant was seen along a slackwater arm of Spring Lake. The water itself was quite eutrophic.",NA,NA,NA,NA,"gbif"
"445","Evernia prunastri",891044081,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:02.879+0000","2014-05-29T20:15:55.444+0000","none","HUMAN_OBSERVATION",2605261,5,95,180,1048,8305,2605254,2605261,"Evernia prunastri (L.) Ach.","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Evernia","Evernia prunastri","Evernia","prunastri","SPECIES","2014-02-11T13:00:55.000+0000",-122.57159,38.48691,2014,2,3,"2014-02-03T18:40:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-11T13:01:10.000+0000","2014-06-05T19:25:27.483+0000","http://www.inaturalist.org/observations/525582","none","none","none","WGS84","Lecanoromycetes","US","United States","891044081","2014-02-03  1040","iNaturalist","iNaturalist research-grade observations","Hood Mountain Regional Park","525582","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","525582","123175","Observations","922675","Heavily investing all the deciduous oaks; brilliant in the winter woods.","18:40:00Z",NA,NA,NA,"gbif"
"446","Turdus migratorius",891045082,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.357+0000","2014-05-29T20:16:02.773+0000","none","HUMAN_OBSERVATION",2490765,1,44,212,729,5290,2490714,2490765,"Turdus migratorius Linnaeus, 1766","Animalia","Chordata","Passeriformes","Turdidae","Turdus","Turdus migratorius","Turdus","migratorius","SPECIES","2014-02-11T19:26:03.000+0000",-122.65427,38.45979,2014,2,10,"2014-02-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T00:04:59.000+0000","2014-06-05T19:25:31.503+0000","http://www.inaturalist.org/observations/528147","none","none","none","WGS84","Aves","US","United States","891045082","2014-02-10","iNaturalist","iNaturalist research-grade observations","Spring Lake","528147","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","528147","12727","Observations","923415","Seen terrestrially not far from the edge of Spring Lake.",NA,NA,NA,NA,"gbif"
"447","Evernia prunastri",891045637,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.611+0000","2014-05-29T20:16:06.541+0000","none","HUMAN_OBSERVATION",2605261,5,95,180,1048,8305,2605254,2605261,"Evernia prunastri (L.) Ach.","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Evernia","Evernia prunastri","Evernia","prunastri","SPECIES","2014-02-13T17:09:13.000+0000",-122.58384,38.39998,2014,2,13,"2014-02-12T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-16T06:52:02.000+0000","2014-06-05T19:25:33.584+0000","http://www.inaturalist.org/observations/529634","none","none","none","WGS84","Lecanoromycetes","US","United States","891045637","2014-02-13","iNaturalist","iNaturalist research-grade observations","Annadel State Park","529634","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","529634","123175","Observations","927032","Seen on the forest floor of a mixed oak woodland. Dominant trees nearby are Quercus garryana and Q agrifolia.",NA,NA,NA,NA,"gbif"
"448","Pipilo maculatus",891040952,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.168+0000","2014-05-29T20:15:33.403+0000","none","HUMAN_OBSERVATION",2491210,1,44,212,729,9608,2491204,2491210,"Pipilo maculatus Swainson, 1827","Animalia","Chordata","Passeriformes","Emberizidae","Pipilo","Pipilo maculatus","Pipilo","maculatus","SPECIES","2014-02-02T19:46:06.000+0000",-122.58462,38.39841,2014,2,2,"2014-02-01T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T22:38:32.000+0000","2014-06-05T19:25:14.703+0000","http://www.inaturalist.org/observations/518090","none","none","none","WGS84","Aves","US","United States","891040952","2014-02-02","iNaturalist","iNaturalist research-grade observations","Annadel State Park","518090","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","518090","9420","Observations","902916","Seen on a grassland clearing within a mixed oak woodland habitat.",NA,NA,NA,NA,"gbif"
"449","Grimmiaceae",899944889,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:06.506+0000","2014-05-29T21:32:14.892+0000","none","HUMAN_OBSERVATION",8747,6,35,327,1337,8747,NA,NA,"Grimmiaceae","Plantae","Bryophyta","Grimmiales","Grimmiaceae",NA,NA,"Grimmiaceae",NA,"FAMILY","2014-03-26T02:24:46.000+0000",-122.66563,38.45086,2014,2,24,"2014-02-23T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-26T02:24:47.000+0000","2014-06-05T20:09:55.716+0000","http://www.inaturalist.org/observations/543658","none","none","none","WGS84","Bryopsida","US","United States","899944889","2014-02-24","iNaturalist","iNaturalist research-grade observations","Howarth Park, Santa Rosa","543658","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","543658","56119","Observations","1027502","This moss was seen growing on native rock in a shady area of the mixed oak woodland. The stature was very low in height rising only about six mm from the rock surface. The specimen measures about five cm across and is somewhat soft to the touch although tightly adherent to the rock. ",NA,NA,NA,NA,"gbif"
"450","Batrachoseps attenuatus",891041247,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.422+0000","2014-07-08T12:28:01.539+0000","none","HUMAN_OBSERVATION",2431750,1,44,131,953,6748,2431747,2431750,"Batrachoseps attenuatus (Eschscholtz, 1833)","Animalia","Chordata","Caudata","Plethodontidae","Batrachoseps","Batrachoseps attenuatus","Batrachoseps","attenuatus","SPECIES","2014-02-03T14:41:39.000+0000",-122.70734,38.5746,2014,2,2,"2014-02-01T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-30T08:17:36.000+0000","2014-07-08T12:30:59.199+0000","http://www.inaturalist.org/observations/519135","none","none","none","WGS84","Amphibia","US","United States","891041247","2014-02-02","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","519135","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","519135","27459","Observations","905118",NA,NA,NA,NA,NA,"gbif"
"451","Zonotrichia atricapilla",891041193,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:01.268+0000","2014-05-29T20:15:35.252+0000","none","HUMAN_OBSERVATION",5231138,1,44,212,729,9608,6173226,5231138,"Zonotrichia atricapilla (Gmelin, 1789)","Animalia","Chordata","Passeriformes","Emberizidae","Zonotrichia","Zonotrichia atricapilla","Zonotrichia","atricapilla","SPECIES","2014-02-06T01:12:33.000+0000",-122.5847,38.3979,2014,2,2,"2014-02-01T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-05-01T01:28:11.000+0000","2014-06-05T19:25:15.568+0000","http://www.inaturalist.org/observations/518699","none","none","none","WGS84","Aves","US","United States","891041193","2014-02-02","iNaturalist","iNaturalist research-grade observations","Annadel State Park, California","518699","c michael hogan","Copyright c michael hogan, licensed under a Creative Commons cc_by_nc_sa_name license: http://creativecommons.org/licenses/by-nc-sa/3.0/","c michael hogan","518699","9185","Observations","910949","Seen in flight and foraging on the ground in a mixed flock with some Pipilo maculatus in a small clearing near an otherwise chaparral dominant local habitat. ",NA,NA,NA,NA,"gbif"
"452","Porella",891045120,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.377+0000","2014-05-29T20:16:02.788+0000","none","HUMAN_OBSERVATION",2688728,6,9,126,377,2267,2688728,NA,"Porella Linnaeus, 1753","Plantae","Marchantiophyta","Porellales","Porellaceae","Porella",NA,"Porella",NA,"GENUS","2014-02-12T22:32:01.000+0000",-122.55368,38.46059,2014,2,10,"2014-02-10T08:58:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-12T22:32:01.000+0000","2014-06-05T19:25:31.578+0000","http://www.inaturalist.org/observations/528284","none","none","none","WGS84","Jungermanniopsida","US","United States","891045120","2014-02-10 1258","iNaturalist","iNaturalist research-grade observations","Hood Mountain Regional Park","528284","icosahedron","Copyright icosahedron, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","icosahedron","528284","55250","Observations","925618",NA,"08:58:00Z",NA,NA,NA,"gbif"
"453","Insecta",891043626,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:02.734+0000","2014-05-29T20:15:52.105+0000","none","HUMAN_OBSERVATION",216,1,54,216,NA,NA,NA,NA,"Insecta","Animalia","Arthropoda",NA,NA,NA,NA,"Insecta",NA,"CLASS","2014-02-08T18:08:34.000+0000",-122.7618,38.43726,2014,2,8,"2014-02-08T19:00:57.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-23T02:26:26.000+0000","2014-06-05T19:25:25.420+0000","http://www.inaturalist.org/observations/524694","none","none","none","WGS84","Insecta","US","United States","891043626","Sat Feb 08 2014 11:00:57 GMT-0800 (PST)","iNaturalist","iNaturalist research-grade observations","531 Senna Dr, Santa Rosa, CA, US","524694","Dawn Williams","Copyright Dawn Williams, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Dawn Williams","524694","47158","Observations","916344","Found under umbrella after hard rain.","19:00:57Z",NA,NA,NA,"gbif"
"454","Plantae",891045150,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:28:03.389+0000","2014-05-29T20:16:02.815+0000","none","HUMAN_OBSERVATION",6,6,NA,NA,NA,NA,NA,NA,"Plantae","Plantae",NA,NA,NA,NA,NA,"Plantae",NA,"KINGDOM","2014-02-12T01:24:35.000+0000",-122.6548,38.4041,2014,2,9,"2014-02-08T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T17:45:13.000+0000","2014-06-05T19:25:33.063+0000","http://www.inaturalist.org/observations/528391","none","none","none","WGS84",NA,"US","United States","891045150","2014-02-09","iNaturalist","iNaturalist research-grade observations",NA,"528391","Thomas Zedrick","Copyright Thomas Zedrick, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Thomas Zedrick","528391","47126","Observations","923911",NA,NA,NA,NA,NA,"gbif"
